出版時間（香港）,來源,分類,標題,新聞網址,摘要,收集來源,首次發現時間,最後看見時間
2026-08-02T10:43:01+08:00,信報,AI安全,OpenAI丨新模型Astra一口氣破解10條數學難題,https://www.hkej.com/instantnews/international/article/4471524/OpenAI丨新模型Astra一口氣破解10條數學難題,OpenAI丨新模型Astra一口氣破解10條數學難題 信報網站,信報－全站 RSS 後備,2026-08-02T14:04:59+08:00,2026-08-02T14:04:59+08:00
2026-08-02T02:18:26+08:00,香港電台,網罪,世衛︰剛果民主共和國今輪伊波拉疫情是該國歷來最大規模,https://news.rthk.hk/rthk/ch/component/k2/1864645-20260802.htm,世界衛生組織表示，剛果民主共和國目前的伊波拉疫情，是該國歷來最大規模的一次，警告疫情正在加劇，並持續傳播，通報病例和死亡人數持續增加。 截至上月30日，剛果民主共和國已經有3605宗確診病例，當中1587人死亡，死亡率大約44%。世衛說，當地上星期錄得的病例創單周紀錄，新增567宗確診，296人死亡，反映疫情傳播速度異常快，又說不安全局勢、人口流離失所和跨境流動等因素繼續阻礙應對工作，並增加疫情進一步擴散的風險。 目前疫情的爆發中心位於東北部的伊圖里省，病毒亦蔓延到鄰近數個省分。 今輪疫情在5月15日宣布爆發，錄得的病例超過2018年至2020年期間的疫情，當時通報的病例有近3500宗，其中近2300人死亡。 編輯︰張萬燕,香港電台－國際新聞 RSS,2026-08-02T14:03:38+08:00,2026-08-02T14:03:38+08:00
2026-08-01T19:25:01+08:00,有線新聞,電騙,25歲內地女假冒特務誘簽保密協議索錢被捕 涉四宗電騙涉款近300萬,,25歲內地女假冒特務誘簽保密協議索錢被捕 涉四宗電騙涉款近300萬 i-cable.com,有線新聞－全站 RSS 後備,2026-08-02T14:03:35+08:00,2026-08-02T14:05:29+08:00
2026-08-01T18:54:41+08:00,香港經濟日報,電騙,假冒官員｜警方拘一名25歲持雙程證女子 涉四宗騙案共294萬元,,假冒官員｜警方拘一名25歲持雙程證女子 涉四宗騙案共294萬元 香港經濟日報HKET,香港經濟日報－全站 RSS 後備,2026-08-02T14:04:49+08:00,2026-08-02T14:04:49+08:00
2026-08-01T17:39:59+08:00,香港01,電騙,警破4假冒官員騙案 25歲內地「女特務」涉呃近$300萬被捕,,警破4假冒官員騙案 25歲內地「女特務」涉呃近$300萬被捕 香港01,香港01－全站 RSS 後備,2026-08-02T14:03:50+08:00,2026-08-02T14:03:50+08:00
2026-08-01T17:28:49+08:00,明報,網罪,黃翠如重申未懷第二胎 產後變橡筋肚 不敢奢望再當媽,https://ol.mingpao.com/ldy/showbiz/latest/20260801/1785574638707/%e9%bb%83%e7%bf%a0%e5%a6%82%e9%87%8d%e7%94%b3%e6%9c%aa%e6%87%b7%e7%ac%ac%e4%ba%8c%e8%83%8e-%e7%94%a2%e5%be%8c%e8%ae%8a%e6%a9%a1%e7%ad%8b%e8%82%9a-%e4%b8%8d%e6%95%a2%e5%a5%a2%e6%9c%9b%e5%86%8d%e7%95%b6%e5%aa%bd,黃翠如今天（1日）出席健康講座活動時表示，兒子「蕭哈哈」出世後，她每日都擔心兒子會生病；又表示孩子打預防針，是新手媽媽的必經過程。她回憶：「記得兒子第一次接受注射時，我哭得比他還要厲害，覺得針頭刺在他幼嫩的大腿上會非常痛；蕭正楠亦傷心至無法拍攝影片，我們都十分心痛。如今，我們已經習慣，並希望拍下過程讓兒子長大後觀看。幸好，哈哈暫時非常健康。有朋友的孩子曾因感染RSV（呼吸道合胞病毒）而需入住深切治療部。早前，我兒子發燒，我緊張至無法入睡。」,明報－即時新聞 RSS,2026-08-02T14:03:31+08:00,2026-08-02T14:03:31+08:00
2026-08-01T17:17:32+08:00,明報,網騙,內地女涉至少4宗假冒官員騙案被捕 騙款達294萬元,https://news.mingpao.com/ins/%e6%b8%af%e8%81%9e/article/20260801/s00001/1785576474586/%e5%85%a7%e5%9c%b0%e5%a5%b3%e6%b6%89%e8%87%b3%e5%b0%914%e5%ae%97%e5%81%87%e5%86%92%e5%ae%98%e5%93%a1%e9%a8%99%e6%a1%88%e8%a2%ab%e6%8d%95-%e9%a8%99%e6%ac%be%e9%81%94294%e8%90%ac%e5%85%83,警方拘捕一名25歲內地女，涉及至少4宗假冒官員騙案，涉款約294萬元。葵青警區重案組第一隊高級督察伍穎欣指，警方7月24日接獲一宗報案，事主表示早前接到一名自稱內地執法人員來電，指其涉及內地犯罪活動。事主為表清白，依照來電者指示每日報告行蹤，又曾與一女「特務」會面，並簽署保密協議，以及向對方繳交「保證金」。據悉事主依指示，分10次轉錢到騙徒指定銀行戶口、總數涉約231萬元。,明報－即時新聞 RSS,2026-08-02T14:03:31+08:00,2026-08-02T14:03:31+08:00
2026-08-01T17:01:41+08:00,無綫新聞,網騙,咖啡騙局,,咖啡騙局 TVB,無綫新聞－全站 RSS 後備,2026-08-02T14:05:41+08:00,2026-08-02T14:05:41+08:00
2026-08-01T16:21:36+08:00,香港電台,平台罪案,印度總理莫迪稱想原諒辱罵他的示威者,https://news.rthk.hk/rthk/ch/component/k2/1864611-20260801.htm,印度總理莫迪表示，他想原諒近期在抗議活動中辱罵他的示威者。 印度早前因為考試試題外洩，引發由年輕人主導的反政府示威浪潮，被認為是近年對莫迪政府構成的最大挑戰。網上流傳的大量影片中，有示威者辱罵莫迪，警方其後要求社交平台刪除相關內容。 莫迪星期五晚在社交平台發布影片，提到有年輕人進行了惡毒的辱罵，使用了不屬於文明社會的言語，不單止針對他，甚至針對他已故的母親，但他想原諒他們，又說年輕人犯的錯誤，應該透過指導而非採取法律行動來糾正。 編輯：許敬軒,香港電台－國際新聞 RSS,2026-08-02T14:03:38+08:00,2026-08-02T14:03:38+08:00
2026-08-01T15:15:00+08:00,am730,網罪,內地新冠病毒檢測陽性率突破20% 官方：屬周期性波動,,內地新冠病毒檢測陽性率突破20% 官方：屬周期性波動 am730,am730－全站 RSS 後備,2026-08-02T14:04:40+08:00,2026-08-02T14:04:40+08:00
